ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
351;46180,67;26201,09;72381,76;44075,82;116457,58
352;1882,38;5199,78;7082,16;425,02;7507,18
353;378,8;0;378,8;0;378,8
354;0;492,6;492,6;0;492,6
355;25047,99;19726,26;44774,26;42626,67;87400,93
356;45238,62;14696,45;59935,07;71174,67;131109,74
357;1337,93;627,59;1965,53;2813,09;4778,62
358;13213,5;20996,55;34210,05;20478,2;54688,25
359;5840,16;10646,55;16486,7;7909,34;24396,05
360;9328,89;6302,56;15631,45;11726,66;27358,11
361;5901,16;4276,84;10178;6387,46;16565,46
362;53665;48998,01;102663,01;18555,82;121218,83
363;37180,03;55675,25;92855,28;35925,74;128781,02
364;15144,15;16497,38;31641,53;11246,55;42888,07
365;13266,55;8422,42;21688,97;2830;24518,97
366;34430,77;40571,21;75001,98;21564,85;96566,83
367;13155,07;20037,04;33192,11;16734,1;49926,21
368;21033,36;34136,38;55169,74;37814,1;92983,84
369;33387,74;47061,93;80449,66;34287,52;114737,18
370;50445,59;70817,52;121263,11;39340,17;160603,28
371;27092,17;45475,84;72568,01;33453,75;106021,76
372;38787,24;32778,62;71565,86;30939,56;102505,43
373;40260,96;59255,26;99516,22;45493,75;145009,96
374;19383,9;17297,13;36681,03;427,54;37108,57
375;39040,12;36268,43;75308,56;52902,9;128211,45
376;22272,71;26489,09;48761,81;45160,59;93922,4
377;85721,66;102510,62;188232,28;176039,08;364271,36
378;46794,95;34910,78;81705,74;50629,59;132335,33
379;22089,66;27793,01;49882,67;41378,18;91260,85
380;55278,42;17981,8;73260,22;63331,51;136591,73
381;0;0;0;0;0
382;59489,32;47166,3;106655,62;72163,5;178819,12
383;39108,75;15778,76;54887,51;55496,35;110383,85
384;14887,31;10464,75;25352,06;24185,52;49537,57
385;0;512,23;512,23;331,61;843,84
386;2676,56;2999,46;5676,03;4487,45;10163,48
387;40112,8;32647,65;72760,45;56215,27;128975,72
388;2984,95;3675,63;6660,58;3575,94;10236,52
389;15903,96;24242,7;40146,65;36716,76;76863,41
390;4800,05;6499,07;11299,12;4457,17;15756,29
391;44774,84;28827,49;73602,33;38976,32;112578,65
392;977,57;0;977,57;0;977,57
393;39585,08;40737,57;80322,64;61486,61;141809,25
394;9480,05;7964,76;17444,8;17446,67;34891,48
395;47090,44;34042,44;81132,88;66556,7;147689,59
396;45281,08;58759,74;104040,82;87143,97;191184,79
397;42589,92;24171,21;66761,12;51616,33;118377,46
398;29421,02;48154,62;77575,65;74015,99;151591,63
399;29705,3;11686,85;41392,14;36486,1;77878,24
400;50328,81;33156,8;83485,61;81946,15;165431,75
401;82646,96;79443,84;162090,81;141256,1;303346,91
402;9809,79;6468,88;16278,67;13217,32;29495,99
403;8463,39;3813,53;12276,93;10878,73;23155,65
404;44172,69;111925,27;156097,95;89643,58;245741,53
405;30284,06;28515,79;58799,85;19705,84;78505,69
406;36510,86;35777,94;72288,8;19973,23;92262,03
407;50473,76;63649,39;114123,16;79980,12;194103,28
408;22559,25;12731,91;35291,17;30915,56;66206,73
409;7300,7;7129,73;14430,43;10320,36;24750,79
410;5326,33;7390,18;12716,51;3805,57;16522,07
411;6976,67;10829,75;17806,42;6799,64;24606,06
412;15546,31;20445,31;35991,62;19300,47;55292,09
413;12980,29;8463,57;21443,86;15024,87;36468,73
414;8695,88;16303,15;24999,03;30134,64;55133,66
415;5798,74;7003,23;12801,97;19376,26;32178,23
416;6202,74;14878,34;21081,08;25692,75;46773,83
417;17891,23;48004,88;65896,11;44870,24;110766,35
418;17225,32;44716,33;61941,65;30030,24;91971,89
