ZONA;Ônibus;Trólebus;Fretado;Escolar;Automóvel;Táxi;Lotação;Metrô;Trem;Moto;Bicicleta;A pé;Caminhão;Outros;Total
90;56871.00;157.00;6081.00;967.00;23912.00;336.00;783.00;5607.00;3817.00;845.00;799.00;96507.00;188.00; -   ;196869.00
91;36343.00; -   ;2976.00;840.00;20885.00;481.00;867.00;8448.00;8311.00;481.00;597.00;86877.00;193.00; -   ;167298.00
92;36323.00;259.00;1859.00;2787.00;25460.00;188.00;206.00;8339.00;8032.00;566.00; -   ;62518.00;1002.00; -   ;147538.00
93;25632.00;787.00;2839.00;2602.00;16601.00;114.00; -   ;8567.00;1757.00;77.00;596.00;42587.00;117.00; -   ;102277.00
94;54810.00;3821.00;8197.00;3546.00;33794.00; -   ; -   ;8929.00;3603.00;1717.00;736.00;128904.00;511.00;77.00;248646.00
95;23952.00; -   ;2431.00;676.00;9633.00; -   ;569.00;6353.00;10095.00; -   ;2199.00;64403.00;411.00; -   ;120720.00
96;35358.00;163.00;2120.00; -   ;18071.00; -   ;556.00;6178.00;9301.00;352.00;77.00;80300.00;328.00;1135.00;153940.00
97;35179.00;600.00;1947.00; -   ;11131.00; -   ;282.00;8649.00;11791.00;906.00;1234.00;89142.00;1104.00;347.00;162313.00
98;34165.00;1809.00;3492.00;1932.00;8849.00;197.00;305.00;19594.00;4173.00; -   ;128.00;90415.00;230.00;689.00;165978.00
99;37908.00;113.00;2301.00;465.00;13267.00; -   ;3504.00;16797.00;28355.00;229.00;2107.00;84879.00;380.00;563.00;190868.00
100;25446.00;1207.00;983.00;1102.00;6458.00; -   ; -   ;9605.00;620.00; -   ; -   ;67644.00;507.00;505.00;114077.00
101;13696.00; -   ;445.00;181.00;5959.00;97.00; -   ;1401.00;247.00;164.00;100.00;17108.00; -   ;91.00;39489.00
102;38772.00; -   ;2198.00;2701.00;24639.00;357.00; -   ;1549.00;183.00;363.00; -   ;69535.00;405.00; -   ;140702.00
103;26949.00; -   ;844.00;1764.00;39246.00;1420.00;427.00;2854.00; -   ;1590.00;299.00;38456.00;172.00;1051.00;115072.00
104;55171.00;252.00;14757.00;5431.00;79356.00;792.00;150.00;1587.00;1981.00;2057.00; -   ;40452.00;714.00;335.00;203036.00
105;70204.00;1526.00;3954.00;2346.00;122209.00;345.00; -   ;1871.00;689.00;2392.00;1019.00;31405.00;802.00;320.00;239082.00
106;93739.00;514.00;3247.00;263.00;47308.00; -   ; -   ;3031.00;1377.00;1176.00;276.00;22413.00; -   ;189.00;173534.00
107;1179.00; -   ;261.00; -   ;11333.00; -   ; -   ; -   ; -   ; -   ; -   ;1509.00;115.00; -   ;14397.00
108;133514.00;3548.00;11774.00;2089.00;60658.00;2426.00; -   ;2079.00;1554.00;3848.00;499.00;226610.00;957.00;1160.00;450717.00
109;29429.00; -   ;3652.00;323.00;18622.00;162.00; -   ;1491.00;148.00;463.00; -   ;19704.00;109.00; -   ;74104.00
110;58526.00; -   ;4350.00;2507.00;44312.00;688.00;217.00;888.00;558.00;1000.00;1618.00;105203.00;779.00;1884.00;222529.00
111;20223.00; -   ;999.00;221.00;2675.00;167.00; -   ;490.00;289.00;78.00;529.00;29010.00;400.00; -   ;55081.00
112;93208.00;3218.00;3498.00;1197.00;27476.00;1077.00; -   ;3609.00;1037.00;1537.00;1256.00;172776.00;501.00;190.00;310579.00
113;76646.00;307.00;3410.00;1529.00;25440.00;239.00; -   ;1341.00;614.00;1090.00; -   ;112090.00;165.00;166.00;223038.00
114;32850.00;259.00;1162.00;5488.00;73895.00;467.00; -   ;2223.00;1380.00;1314.00;705.00;22856.00;1024.00; -   ;143623.00
115;27792.00;98.00;3694.00;1030.00;28966.00; -   ; -   ;200.00;4457.00;538.00;390.00;21957.00;1033.00; -   ;90156.00
116;47443.00; -   ;3944.00;3494.00;73758.00;230.00;382.00;1306.00; -   ;737.00;951.00;48663.00;2120.00; -   ;183028.00
117;42633.00; -   ;3019.00;5884.00;62466.00;158.00;168.00;1404.00;576.00;767.00;477.00;67500.00;891.00;264.00;186207.00
118;30093.00;116.00;2593.00;1484.00;15195.00; -   ;308.00;383.00;989.00;342.00;855.00;63895.00;417.00; -   ;116670.00
119;13628.00; -   ;282.00;1106.00;8367.00;127.00; -   ;1430.00;15228.00;132.00;137.00;53969.00;507.00; -   ;94913.00
120;7132.00; -   ;1393.00;271.00;4161.00; -   ; -   ; -   ;547.00; -   ;188.00;33426.00;247.00;214.00;47579.00
121;10326.00; -   ;3958.00;1644.00;7491.00; -   ; -   ;1130.00;5589.00;274.00;548.00;32077.00;190.00;137.00;63364.00
122;22269.00; -   ;2041.00; -   ;27465.00;251.00; -   ;2528.00;19413.00;1094.00; -   ;52612.00; -   ;1006.00;128679.00
123;6274.00; -   ;190.00;380.00;2091.00; -   ; -   ;1141.00;19913.00; -   ; -   ;41448.00; -   ;380.00;71818.00
124;4353.00; -   ;1219.00;703.00;23110.00;161.00;161.00;1290.00; -   ;484.00;322.00;32244.00;1085.00;161.00;65292.00
125;46426.00; -   ;7709.00;1613.00;26708.00;1038.00; -   ;3994.00; -   ;142.00;1090.00;65509.00;330.00; -   ;154559.00
126;81592.00; -   ;8998.00;9467.00;92197.00;165.00;168.00;8342.00;285.00;4572.00;615.00;109956.00;1500.00;1791.00;319648.00
127;31483.00; -   ;4859.00;5028.00;35502.00;517.00; -   ;4775.00;235.00;192.00;1409.00;62677.00;1172.00; -   ;147849.00
128;35389.00; -   ;1572.00;1395.00;23629.00;248.00; -   ;1025.00;157.00;792.00;265.00;23543.00;194.00;150.00;88359.00
129;44887.00; -   ;10179.00;2666.00;51965.00;137.00;66.00;5499.00;1713.00;571.00;1268.00;58352.00;1475.00;384.00;179161.00
130;23656.00; -   ;5266.00; -   ;8790.00; -   ; -   ;908.00; -   ;535.00;1373.00;66365.00;517.00; -   ;107410.00
131;55527.00; -   ;34357.00;226.00;30775.00;325.00;1595.00;4326.00;3315.00;642.00;4726.00;111194.00;1550.00;517.00;249077.00
132;7249.00; -   ;2243.00;603.00;7741.00;235.00; -   ;235.00;425.00;141.00;705.00;23477.00;259.00; -   ;43314.00
133;4328.00; -   ;581.00;566.00;11811.00; -   ; -   ;141.00; -   ;424.00;4384.00;40625.00;1556.00; -   ;64416.00
134;5564.00; -   ;2039.00;15.00;3721.00;65.00;30.00;315.00;1979.00; -   ;101.00;10738.00;356.00; -   ;24923.00
135;17945.00; -   ;2315.00; -   ;20929.00; -   ; -   ;3308.00;19789.00;1108.00;516.00;89490.00;750.00; -   ;156149.00
136;5818.00; -   ;801.00; -   ;7385.00; -   ; -   ;169.00;649.00;59.00;361.00;14462.00;1181.00;192.00;31079.00
137;22952.00;134.00;784.00;294.00;15737.00;573.00;1527.00;5517.00;12921.00;183.00;1098.00;58725.00;464.00; -   ;120908.00
138;17296.00;158.00;1153.00;178.00;17149.00; -   ; -   ;2701.00;9741.00;898.00;1565.00;60754.00; -   ; -   ;111593.00
139;44920.00; -   ;11394.00;896.00;22973.00;219.00; -   ;3515.00;13297.00;238.00;4617.00;75813.00;1684.00; -   ;179567.00
140;2628.00; -   ;632.00; -   ;1250.00; -   ; -   ;154.00;1191.00; -   ;536.00;7306.00;339.00; -   ;14036.00
