ZONA;Ônibus;Fretado;Escolar;Automóvel;Táxi;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
 60 ;4792;0;673;16622;33;1002;93;323;0;8654;0;32194
 61 ;19369;177;2058;56789;235;7123;0;936;0;17871;0;104559
 62 ;7272;203;532;12450;233;6295;0;0;0;6757;0;33741
 63 ;9380;104;568;23065;104;14327;179;104;0;8540;87;56457
 64 ;16704;0;1116;22336;220;12380;0;0;0;6543;264;59562
 65 ;11159;171;360;34191;0;12384;0;187;0;15186;0;73638
 66 ;19332;356;402;34887;1468;12791;1658;520;144;8757;0;80315
 67 ;8032;0;0;19441;426;1841;0;0;0;4502;0;34241
 68 ;11317;0;249;28956;419;3864;810;30;143;7015;0;52803
 69 ;34754;262;490;48739;1398;1921;0;1194;0;21475;634;110866
 70 ;27034;2604;929;56230;3397;3652;653;928;529;10233;72;106262
 71 ;16193;0;90;23844;402;1993;2634;323;468;15808;0;61756
 72 ;45252;581;250;46237;1844;2429;3036;1208;677;13298;0;114811
 73 ;11792;157;1200;42991;1949;3352;437;382;74;18837;0;81171
 74 ;31017;666;1199;60862;1039;6500;2031;1504;16;18028;66;122927
 75 ;9706;0;60;17414;581;964;0;0;0;3801;0;32526
 76 ;11830;326;196;15867;0;2996;2921;321;13;6406;0;40876
 77 ;59332;352;542;47983;207;2670;12298;129;0;19071;301;142885
 78 ;19738;379;1517;45527;1287;3494;1959;0;157;21432;0;95490
 79 ;15543;2060;1228;18537;57;1346;5121;701;0;7534;1085;53212
 80 ;6779;217;315;11141;321;1422;1309;294;133;5625;0;27556
 81 ;36979;280;1274;41439;633;7334;875;321;0;37764;630;127530
 82 ;21385;0;231;26007;0;3823;735;0;0;26721;0;78901
 83 ;18136;570;473;31053;27;9127;301;749;0;16403;0;76839
 84 ;15637;102;1556;25579;2872;2105;0;5649;0;17488;0;70988
 85 ;13072;1551;777;40383;1283;6134;0;854;183;20062;77;84375
 86 ;10079;576;77;17891;0;7364;0;963;0;18465;1222;56636
 87 ;14538;0;127;26282;0;10424;0;0;384;38265;0;90020
 88 ;19341;1701;570;23910;0;3841;2621;1830;872;48413;117;103216
 89 ;3833;291;736;6135;0;1353;0;457;740;11816;0;25362
 90 ;37921;7871;3729;41700;247;3965;646;0;752;31002;761;128593
 91 ;36998;286;3001;41965;325;8067;3045;255;59;25333;53;119389
 92 ;16810;518;1561;25531;190;4360;265;285;411;27353;608;77893
 93 ;15622;1046;3597;23904;0;6233;472;0;0;21186;153;72213
 94 ;16348;519;1094;49581;0;16594;2370;256;179;43185;695;130822
 95 ;17188;0;2084;34437;257;4651;665;513;257;18238;244;78533
 96 ;17428;99;1133;30315;240;4225;562;275;448;21548;0;76273
 97 ;25389;1310;2379;37010;272;5046;119;525;0;36036;0;108087
 98 ;18701;64;818;18991;67;1762;217;157;16;19827;0;60620
 99 ;11741;1135;979;13510;0;798;902;119;0;14115;427;43727
