ZONA; Ônibus ; Fretado ; Escolar ; Automóvel ; Táxi ; Lotação ; Metrô ; Trem ; Moto ; Bicicleta ; A pé ; Outros ; Total 
 19 ;18020,12;0,00;52,33;21918,98;206,73;237,82;12702,31;1638,59;0,00;390,56;17449,25;264,86;72881,56
 20 ;4356,30;69,72;221,01;5859,85;54,76;93,67;2358,04;17,66;117,49;0,00;5166,50;127,23;18442,23
 21 ;11113,21;70,04;22,14;27473,30;159,85;20,30;3327,18;5184,98;312,42;420,92;22122,39;0,00;70226,71
 22 ;20783,01;354,50;0,00;22807,24;592,70;0,00;9756,38;9424,14;46,50;216,34;13393,76;86,64;77461,21
 23 ;10720,83;1542,49;232,67;9967,61;26,54;46,50;4340,86;402,63;72,46;195,96;6101,08;255,87;33905,52
 24 ;22757,15;1224,95;1600,60;32950,53;454,02;1370,14;15796,47;1530,88;2544,74;312,71;25257,04;26,54;105825,78
 25 ;15489,46;329,24;194,60;33147,72;0,00;255,49;8991,15;1682,79;425,19;0,00;18451,03;47,33;79014,00
 26 ;11781,38;0,00;0,00;23418,07;689,96;136,10;1727,63;1683,17;695,47;0,00;12806,04;0,00;52937,82
 27 ;20579,17;1924,66;1212,98;50006,94;1452,87;1372,20;6613,10;11481,53;468,43;0,00;17816,06;1207,61;114135,55
 28 ;9333,72;471,04;27,55;9920,90;0,00;0,00;905,32;1882,49;687,29;128,25;4343,72;276,10;27976,38
 29 ;15212,42;96,10;228,75;31085,11;96,66;0,00;1753,07;268,97;133,61;613,33;9424,67;184,49;59097,18
 30 ;11887,34;616,09;1181,67;43706,90;589,81;0,00;24902,94;1572,39;2414,69;0,00;15778,97;0,00;102650,81
 31 ;16594,30;694,42;1675,39;43057,68;604,74;23,68;36178,88;598,85;890,98;0,00;22170,74;152,37;122642,04
 32 ;13444,92;142,64;748,69;22934,94;319,26;142,64;15316,64;186,23;1037,64;142,64;15830,00;0,00;70246,25
